filename,environment,throttle_mode,fault,rows,category
healthy_standard_day_smooth.csv,standard_day,smooth,none,300,training/test data
healthy_hot_day_rapid_transient.csv,hot_day,rapid_transient,none,300,training/test data
healthy_high_altitude_idle_to_cruise.csv,high_altitude,idle_to_cruise,none,300,training/test data
fault_misfire_standard.csv,standard_day,rapid_transient,misfire,300,training/test data
fault_overheating_standard.csv,standard_day,rapid_transient,overheating,300,training/test data
fault_oil_pressure_drop_standard.csv,standard_day,rapid_transient,oil_pressure_drop_gradual,300,training/test data
fault_injector_standard.csv,standard_day,rapid_transient,injector_fault,300,training/test data
fault_vibration_spike_standard.csv,standard_day,rapid_transient,vibration_spike,300,training/test data
multi_overheat_oildrop_standard.csv,standard_day,rapid_transient,"overheating,oil_pressure_drop_gradual",300,training/test data
multi_misfire_vibspike_standard.csv,standard_day,rapid_transient,"misfire,vibration_spike",300,training/test data
fault_overheating_hot_and_high_stress.csv,hot_and_high,rapid_transient,overheating,300,training/test data
../demo/demo_healthy.csv,standard_day,smooth,none,300,official demo scenarios
../demo/demo_overheating.csv,hot_and_high,rapid_transient,overheating,300,official demo scenarios
../demo/demo_stress.csv,standard_day,rapid_transient,"misfire,vibration_spike",300,official demo scenarios
