timestamp,rpm_act,cht_act,egt_act,oil_p_act,oil_t_act,fuel_flow_act,vib_act,fault_label
0.0,5404.570756196316,180.95439733714753,620.072694792833,3.9599942751343504,89.03370981064198,12.032779821766798,0.29860099635252435,healthy
0.5,5384.400238406392,182.36939125330127,621.7607880465696,3.946722708327412,89.09935271704221,12.841143091468323,0.3000125555722317,healthy
1.0,5411.256767937097,178.99681319977927,620.0487288000908,3.985727577825846,90.5126798590261,11.892234488823526,0.29026782850122673,healthy
1.5,5414.1084707458685,179.18182026520665,619.4530659591055,4.048099515777694,90.73188316021778,12.983120962021598,0.308120552263924,healthy
2.0,5370.734472170192,179.6866998511911,620.0820739696803,4.008571210569413,91.73543788248833,12.4232564924424,0.2895013239160936,healthy
2.5,5380.467307397065,180.43682388197533,619.1390622511689,4.02750693659833,89.05891346578456,12.610565612119956,0.32892350279908245,healthy
3.0,5401.917606047509,180.1455266514343,624.6479578454173,4.037344256719416,91.75919012941631,12.818585972886009,0.30951218274670145,healthy
3.5,5395.256361114846,180.90646198195063,620.8107224787776,3.970661547879669,89.73971439562212,12.319240239750167,0.2732959783915068,healthy
4.0,5399.747982637436,178.31222018667728,618.5406120150483,3.9359526704583816,90.07902238815254,12.679675226472765,0.30803449862844423,healthy
4.5,5387.204341086396,180.59528053394482,614.5759215704346,3.9706315378487047,89.88311028147257,12.192929750978744,0.29884731284480276,healthy
5.0,5413.190969622942,178.88667692966152,619.4083742869647,4.0410681479319726,90.25343333794,12.30773224843238,0.25359519852223567,healthy
5.5,5411.666879031434,179.78499914691662,618.2695282507283,4.030143540460989,90.69723120922424,12.63129363843713,0.3304055081863404,healthy
6.0,5400.9904604634185,182.5620204408843,618.1581171573852,4.0039552791189825,91.03755326920965,12.624968009471198,0.2796658644296657,healthy
6.5,5416.90861810452,177.902635786851,622.8278338961121,4.047444059418577,89.75560751685207,12.608344443948633,0.3022297641882082,healthy
7.0,5407.012640133781,179.58079879734095,620.2392069815728,4.007282090894061,90.08874291037495,12.943213338142998,0.3076558863148652,healthy
7.5,5387.110613056751,178.08803134153408,614.9526643042194,3.9834076928463653,89.08890231683044,12.476854071541675,0.30033560412022015,healthy
8.0,5405.531261761237,180.22960196182765,621.8564955403843,3.9215598609601754,90.67782382910003,12.98242827140657,0.3156518050181001,healthy
8.5,5385.616760987565,181.57234937308502,615.2538900242693,4.063565459447172,90.26603884852487,12.518095391426497,0.317400473933977,healthy
9.0,5413.176754519609,180.2544826782664,622.0799594607979,3.995196613626912,89.22281309787229,12.680955208503207,0.30378257076497567,healthy
9.5,5399.251111335207,179.8249262199965,618.5747742792465,3.9774299037691794,88.75659807990124,12.719877228882524,0.28087699624537343,healthy
10.0,5397.227064546821,181.9926034935781,620.260721635687,3.994866557911012,90.16079528953229,12.348485594327983,0.3020156635792879,healthy
10.5,5389.786056833941,180.4957536521582,619.9252801351931,4.074937327151364,91.30652258200475,12.563073302169073,0.32348303678481005,healthy
11.0,5418.3381200801105,181.2293490844677,619.555619501061,4.049632418681118,91.58616029191083,12.064264889611568,0.2973746313356181,healthy
11.5,5397.682057768968,181.0728860802677,620.6285718557025,3.981999755939904,88.7064368968302,12.532480475992909,0.2707068949959059,healthy
12.0,5393.575082667553,175.68563939376486,620.2456526927599,4.02348769924206,90.93447932880206,12.521037919426844,0.3228256023084263,healthy
12.5,5394.717996742676,179.88499679156857,625.6091880896649,4.061354412485278,90.79749750426399,12.661326860543532,0.29072047936176115,healthy
13.0,5407.9846377833,178.38288829667798,620.6718452360433,4.017371391841078,91.38485675677488,12.462858429515977,0.3175825460620414,healthy
13.5,5405.481660965461,178.75602465876472,620.74155930731,4.00603626860363,90.47554698738128,13.035508950906749,0.28898402519682864,healthy
14.0,5406.19098917394,182.21187916098793,617.8714368085018,3.895485070386485,89.66562761181105,11.990470291460218,0.3102261121182436,healthy
14.5,5406.462315045118,179.4377916820161,621.1426850712091,4.062287974528246,90.78591620163141,12.147484927390662,0.2947046293966518,healthy
15.0,5432.124714013057,182.838852293709,616.929226818586,3.948584103218003,87.42316129561183,12.21291236367244,0.28754092235712614,healthy
15.5,5393.903774754231,177.8884673695937,623.4503831888796,3.906464262279392,89.00844549978459,12.487958721699538,0.309771513119855,healthy
16.0,5392.316359063927,178.37449382958394,615.5469546222332,3.9097850401266734,89.13048481493178,12.266185123338529,0.2841291383534698,healthy
16.5,5387.793409076282,181.14352599142796,617.4690239217098,3.9572446137306923,89.32731248603042,12.148517059365682,0.26516062994412515,healthy
17.0,5409.239691338633,179.48794272036224,615.1126015518945,4.024298307996272,88.47991945854481,12.348655168223754,0.31439145649846023,healthy
17.5,5416.934584390813,180.4609910049016,621.2589312265219,4.058031715778616,89.43564321940173,12.058150037972183,0.2883702528354259,healthy
18.0,5398.290788135177,179.83153976044537,618.728379521268,4.017082845554304,89.44636569963907,12.609013327532926,0.3056602683061704,healthy
18.5,5387.397652845562,179.78613564305098,622.0577819247478,4.086775643788967,89.73648492840873,12.59199977115908,0.30487479140246454,healthy
19.0,5387.6327817646315,179.5436458969019,617.0732276438727,3.979842826368863,90.28383152848092,12.119312114319202,0.3135809008556037,healthy
19.5,5409.758891817371,180.2692400406116,621.59442649259,3.9883964133231347,88.74876157849884,12.761288560808987,0.3179753838714606,healthy
20.0,5411.148812568052,180.96245743129185,621.7395098655609,3.9066620080586576,89.54722194874431,12.099733711485415,0.30971258880599634,healthy
20.5,5408.147314024578,182.4216332264587,620.6353933649578,3.971209754576745,89.90849300877586,12.338139736236187,0.31237471652522175,healthy
21.0,5390.017354390669,179.69623119698576,620.0926204965672,3.89789863610584,88.14608466016006,12.567728691479173,0.3181926108958729,healthy
21.5,5403.482419846001,179.4095425565462,620.4115975497999,3.9329138348502823,89.92633037001771,12.519623469775475,0.289169690010551,healthy
22.0,5401.750287137111,179.2163076653113,617.2679224655059,4.031506155839459,90.23872548301095,12.031117524493107,0.287607657202143,healthy
22.5,5403.280328950935,182.20467578254875,616.7741913912162,3.9156462589692933,90.75804630564275,12.633603456249514,0.3119139425844421,healthy
23.0,5413.071431669223,181.03548734567073,621.6316178037932,3.9205903601785277,88.68011487990427,12.485735931474636,0.26589237181219694,healthy
23.5,5403.35393323162,177.15144986034275,618.8939269408481,3.9121096817785697,89.84840990676955,13.068341686551744,0.27461484833784483,healthy
24.0,5410.183703446079,177.08531894580543,621.3601758870874,4.038818419030832,91.23977251532048,12.67849839903277,0.2665782974157692,healthy
24.5,5401.013686042334,178.75491318075288,624.652965380027,4.081945142413841,88.26409638549657,12.941189323550448,0.3221315421254699,healthy
25.0,5404.33679098035,180.34521816608157,618.628527378829,3.9962633055903747,89.99323639932156,12.217247924416116,0.3216829729720218,healthy
25.5,5409.469323387578,179.94979479117197,618.1997289042012,4.04714424131564,88.47748620654932,12.026683886003195,0.3164741877655156,healthy
26.0,5378.142662702165,180.77216782776551,619.0271503732342,3.9417966986112347,89.57047071154587,12.897669056617485,0.3008920542755408,healthy
26.5,5395.204931754641,179.73683483672508,620.11691337593,4.061494643548795,89.19500188545182,12.604445100861144,0.2909378009522328,healthy
27.0,5392.944410185608,182.09612815706842,621.8424164258153,3.9642158580763556,90.37427201109911,13.048440641355429,0.29541942087681516,healthy
27.5,5390.41683227635,181.15816706816102,619.9148392831507,4.033378940744014,89.70476069487957,12.83737317008544,0.3076051536690708,healthy
28.0,5395.8728662316,180.11636491067352,626.2356410124501,3.9986388629012835,88.72338774301754,12.820467944156084,0.3138837627087775,healthy
28.5,5422.424119668516,181.71800914580115,621.2625485449133,3.904101528137947,91.52322290055078,12.636753551281151,0.2777180025189663,healthy
29.0,5387.012533264601,177.52664066352716,622.3424731684239,3.9557420354376385,90.17804882355476,12.243030456010523,0.31427679502692446,healthy
29.5,5414.524175318872,179.87238793100215,619.889418744638,4.008554785711493,90.98684308337225,12.196707606032273,0.32157555078263245,healthy
30.0,5374.756953425763,180.206268459192,623.0354936885864,3.907517553889228,88.90476761052703,11.892025757125175,0.31629800077181586,healthy
30.5,5394.9767245502135,180.90305474992877,619.3841811607592,4.014827758236291,89.60683911656605,12.342921899916247,0.27023013009294305,healthy
31.0,5402.441295976575,177.42725099575708,618.067328903812,3.9291863773268956,90.99910603750263,12.496887676436778,0.3148113595259258,healthy
31.5,5408.793334970389,179.6093896396883,622.7160344620813,4.027031365812819,89.25002926708784,12.469860824102208,0.29842595788690846,healthy
32.0,5410.668398696893,180.6006911945266,619.8281343605579,3.931970094963554,89.99492534710623,12.504950283073516,0.3312076511850331,healthy
