timestamp_ms,msg_id,rpm,cht_c,egt_c,oil_pressure_kpa,oil_temp_c,fuel_flow_lph,vibration_g,throttle_pct,altitude_m,ambient_temp_c
1788607150101,ENG_TELEM_00,3519.2962465665846,141.16511785952275,554.8129383569722,362.50192807600797,119.57779583535917,24.556658526598227,0.25264115257685515,55.0,4500.0,-5.0
1788607150187,ENG_TELEM_01,3588.9790457093404,143.71343674220708,560.9402735649207,366.65931109670123,124.54112042813361,25.10840408897196,0.26677520274906225,55.732984695917494,4500.0,-4.999166667052469
1788607150287,ENG_TELEM_02,3646.6830302911176,147.28212879194695,567.0234655515688,369.034047662868,126.67454093926031,25.37903793056049,0.211844420563341,56.465647880521985,4500.0,-4.998333336419751
1788607150387,ENG_TELEM_03,3624.7592715877663,145.15892785684576,563.5619626055004,368.14502761231415,122.93100594676768,25.29713352010493,0.24318668053440237,57.19766818352597,4500.0,-4.997500010416654
1788607150487,ENG_TELEM_04,3732.0996137964016,145.09431210556153,573.5966377418493,370.9649648566513,125.20701661291582,25.586213635510035,0.2610208143127819,57.92872451663104,4500.0,-4.99666669135797
1788607150587,ENG_TELEM_05,3724.706316866618,146.59559501150258,574.5753741817922,372.95138572577133,125.78270842374144,26.220191114694146,0.25391849853389536,58.65849621436787,4500.0,-4.995833381558475
1788607150687,ENG_TELEM_06,3787.3657582792775,149.8704094242458,572.8465167458983,375.1462885976212,129.86294463658493,26.156125417874286,0.30467679789064384,59.38666317475065,4500.0,-4.995000083332917
1788607150787,ENG_TELEM_07,3822.2222539367785,149.51631953195553,575.6383211408759,375.9762692766165,127.5150250174958,26.09546525812405,0.2729628025844126,60.11290599968441,4500.0,-4.994166798996013
1788607150887,ENG_TELEM_08,3861.227004731922,151.64413792448877,576.6197643538073,382.2480521662254,131.1294529970644,27.107390801632466,0.2653148240489958,60.83690613506358,4500.0,-4.993333530862442
1788607150987,ENG_TELEM_09,3878.7438727641984,150.5337284081379,578.9388146807021,381.94559236049236,130.5460143964046,27.31562698877753,0.24284005041191337,61.55834601050036,4500.0,-4.992500281246836
1788607151087,ENG_TELEM_10,3892.378062248966,151.62484001669284,581.3182028943334,378.99619003288126,131.98642792617318,27.328134089223756,0.31967712454327835,62.27690917862158,4500.0,-4.991667052463778
1788607151186,ENG_TELEM_11,3943.5720004232408,152.892659106776,579.234407242867,387.3381491976251,131.12485174618257,27.62656173113529,0.28526726406881536,62.99228045387295,4500.0,-4.99083384682779
1788607151287,ENG_TELEM_12,3937.1169059887093,154.46291967993847,581.0856434262848,381.96194650349133,134.7578307736733,27.293976557469733,0.2786954208901105,63.70414605076992,4500.0,-4.990000666653334
1788607151386,ENG_TELEM_13,3989.8315302453825,152.54596283750323,586.7639631875142,382.5416302241382,132.36438467704141,27.9841831557845,0.3136163239461581,64.4121937215343,4500.0,-4.989167514254796
1788607151486,ENG_TELEM_14,4063.139972643758,154.94350651772754,588.7581633905189,391.28829373412805,134.38468621700096,27.655882325347594,0.310126569890782,65.11611289305651,4500.0,-4.98833439194649
1788607151587,ENG_TELEM_15,4069.1717914287324,154.49639039395322,591.8745142767696,390.0668673837906,134.36678748894002,28.329008923336293,0.2746896490275885,65.81559480312316,4500.0,-4.987501302042644
1788607151687,ENG_TELEM_16,4132.689978618922,152.52187151572383,591.8214175940419,393.40519514525477,132.45442847107535,28.45364405444053,0.29825550842250914,66.51033263585042,4500.0,-4.986668246857395
1788607151787,ENG_TELEM_17,4160.722887638848,156.21857710694485,598.6949057535551,395.57848045645375,136.38333145668568,29.270801831027427,0.28262867339135095,67.20002165626353,4500.0,-4.985835228704785
1788607151887,ENG_TELEM_18,4162.239308057688,156.34507765487123,595.569731296647,392.97158332287955,134.82937862790314,29.59003362773492,0.32861927594782986,67.88435934396372,4500.0,-4.985002249898752
1788607151987,ENG_TELEM_19,4280.097868661693,159.1500746912778,598.8081116922519,399.9776552573535,137.87983395339663,29.84198682029433,0.35745286210812866,68.56304552582361,4500.0,-4.984169312753127
1788607152087,ENG_TELEM_20,4249.931370630297,158.98346358838086,599.7501795345385,400.5770439947982,138.83490928532336,29.951880667385858,0.3192522237020288,69.235782507653,4500.0,-4.983336419581623
1788607152187,ENG_TELEM_21,4301.837078857192,161.25263237932623,602.6075907377954,402.99445284935894,140.1958835977565,30.063284193426455,0.3225288235612072,69.90227520477754,4500.0,-4.982503572697832
